,Genename,Counts,Sample
407,ACTR1B,1577.7238,Moderate 4
408,H3F3B,131339.64,Moderate 4
409,GCC2,6389.549,Moderate 4
410,OAZ1,128996.25,Moderate 4
411,PIK3AP1,1986.8572,Moderate 4
412,NUCKS1,5837.4136,Moderate 4
413,HPSE,1095.0181,Moderate 4
414,CD44,7467.981,Moderate 4
415,SARS,3798.0452,Moderate 4
416,CD244,847.54407,Moderate 4
417,TSPAN31,971.2381,Moderate 4
418,HLA-DRA,42449.27,Moderate 4
419,MBD2,975.82605,Moderate 4
420,RAB33B,836.37714,Moderate 4
421,TNRC6B,5084.06,Moderate 4
422,CTSZ,1295.1573,Moderate 4
423,ITGAL,3116.1082,Moderate 4
424,YPEL5,8283.967,Moderate 4
425,HNRNPA1,31168.55,Moderate 4
426,CCDC88C,4784.5615,Moderate 4
427,ZMYND11,1092.6654,Moderate 4
428,MVP,4216.3916,Moderate 4
429,EXD3,380.707,Moderate 4
430,RPL3,80673.35,Moderate 4
431,NELFE,2739.1865,Moderate 4
432,RSL1D1,5297.934,Moderate 4
433,TMX1,2973.0493,Moderate 4
434,HNRNPU,11265.405,Moderate 4
435,ACOT9,769.17065,Moderate 4
436,MYL12A,122925.6,Moderate 4
437,OAS1,12653.076,Moderate 4
438,HDAC8,617.5938,Moderate 4
439,TRAK2,1867.1893,Moderate 4
440,VRK2,1392.906,Moderate 4
441,ATXN2L,1808.8911,Moderate 4
442,CYB561D2,1747.4712,Moderate 4
443,TAPBP,9719.468,Moderate 4
444,WBP1L,1146.9573,Moderate 4
445,CENPJ,215.89516,Moderate 4
446,HNRNPC,19762.47,Moderate 4
447,CD2,11324.965,Moderate 4
448,CHCHD1,2015.3683,Moderate 4
449,TSTA3,1341.4236,Moderate 4
450,EIF3C,188.30876,Moderate 4
451,LBH,8358.017,Moderate 4
452,MEGF8,86.20862,Moderate 4
453,SMCO4,1351.6681,Moderate 4
454,MAP3K2,1673.2037,Moderate 4
455,MARCKS,3715.0552,Moderate 4
456,PDCD11,495.14453,Moderate 4
457,RPA2,3633.1245,Moderate 4
458,BID,2741.5955,Moderate 4
459,STX10,3488.5745,Moderate 4
460,IFIT3,24271.154,Moderate 4
461,DHX9,2159.0117,Moderate 4
462,ATP6V0B,11830.993,Moderate 4
463,OGT,4417.655,Moderate 4
464,BUD31,5399.396,Moderate 4
465,ZBED6CL,36.30315,Moderate 4
466,WDR70,708.50806,Moderate 4
467,ABCA7,1403.2925,Moderate 4
468,SPN,4199.7173,Moderate 4
469,CANT1,1254.5817,Moderate 4
470,SPINK2,241.25327,Moderate 4
471,PRDX5,10163.982,Moderate 4
472,CDV3,1346.664,Moderate 4
473,IGHG2,55.106697,Moderate 4
474,IK,5172.4155,Moderate 4
475,PI4KB,1520.436,Moderate 4
476,SORL1,4927.611,Moderate 4
477,IGLV1-47,3702.643,Moderate 4
478,CD2BP2,2256.3496,Moderate 4
479,SELL,40906.973,Moderate 4
480,RORA,2193.386,Moderate 4
481,SP100,18140.998,Moderate 4
482,MBNL1,18455.268,Moderate 4
483,UHRF2,1575.4792,Moderate 4
484,KDM5B,1107.5591,Moderate 4
485,PDCD6IP,3645.8286,Moderate 4
486,UROD,1436.0098,Moderate 4
487,EFTUD2,1387.0107,Moderate 4
488,TNRC6A,1218.7394,Moderate 4
489,TPM3,32425.994,Moderate 4
490,HMGB1,38598.637,Moderate 4
491,ZNF263,747.42975,Moderate 4
492,GGA2,1923.4061,Moderate 4
493,HUWE1,1921.5371,Moderate 4
494,ERP44,3932.6807,Moderate 4
495,CD14,10878.663,Moderate 4
496,GPR180,469.00958,Moderate 4
497,FAM129A,1925.2406,Moderate 4
498,PSMD2,3140.6833,Moderate 4
499,IGFBP4,395.55978,Moderate 4
500,PCGF5,3421.695,Moderate 4
501,TGOLN2,5710.7393,Moderate 4
502,RPL31,42680.145,Moderate 4
503,IPO7,1480.7794,Moderate 4
504,AKT1,575.9333,Moderate 4
