Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
Moderate 1,0.236215904970125,0,0,0.132975041696385,0.192780428946919,0.281560612712546,0,0,0,0,0.0196532173553827,0.0375226092057159,0.0958637038849878,0,0,0.00319672587805611,0,0.000231755349880953,0,0,0,0,0.001,0.509541256755641,0.862572748076072
Moderate 2,0.0598643092391069,0,0,0.266106727797794,0.198772003275424,0.198249695687537,0.0564640233917998,0,0,0,0.0591859805182144,0.012488548515107,0.0976313693275363,0,0,0,0,0.00839717794503352,0,0.0359277653967788,0.00691239890566765,0,0,0.619233888105963,0.785418365391237
Moderate 3,0.0670781137736688,0,0,0.270133958429629,0,0.141789484611605,0,0,0,0,0.255914646613064,0.109872705543616,0.135902451583082,0,0,0.0134805663322765,0,0.00169007261294522,0.00365550092961488,0,0,0.000482499570499181,0,0.550499499628728,0.844921530085635
Moderate 4,0.117880063756745,0,0,0.264042520774377,0,0.246367042932674,0.00851209314579559,0,0,0,0.0952331829719898,0.0596550216931021,0.114019136380841,0.00692203470865386,0,0,0,0.00054521097673419,0.00904939003958859,0,0,0.0777743026194994,0,0.578727202537708,0.815085319758642
Moderate 5,0.0515361164687069,0,0,0.115743688399788,0.00902188474444046,0.217672013783652,0,0,0,0,0,0.0481181011301249,0.20067944555618,0,0,0,0,0.00578407868551214,0.0191617732058861,0,0,0.332282898025709,0,0.74736716185822,0.678080135874589
Moderate 8,0.109572887256193,0,0,0.35194826347206,0,0.0654441970718196,0,0,0.010165310166047,0,0.00401518014369377,0.0852644153673777,0.220527976195212,0,0,0,0,0.00801732979222176,0.00709408694614522,0,0,0.137950353589231,0,0.634570497174216,0.777362419278222
Moderate 11,0.0142411551716017,0,0,0.181219409426776,0,0.124065726062057,0,0,0.0106106053448357,0,0,0.0638337830327515,0.198559236148282,0.0216698742075353,0,0,0,0,0.0121425550341024,0,0,0.373657655572057,0,0.612498524013002,0.792314676013561
Moderate 13,0.00660736578124911,0.0180445779148714,0,0.115352327166025,0,0.32906962719091,0,0,0,0,0.0965334087075679,0.10074675172905,0.0614804910647123,0,0,0.00820748863243126,0,0.00476491229684635,0.0321956397679914,0,0,0.226997409748345,0.004,0.360308982997419,0.959460399672158
Severe 0,0.110176282609711,0,0,0.0643986310874017,0.00786833181993648,0.215465914993897,0.0464140123823859,0,0,0,0.0371669365376807,0,0.400773726503572,0,0,0,0,0.00130179330637936,0,0.116434370759037,0,0,0.00600000000000001,0.325456964315914,0.956472711929791
Severe 1,0.136910699498909,0,0,0.278585007665182,0.0975561327622302,0.104710430142428,0.0194643269549525,0,0,0,0.0725622941719719,0.120476723683008,0.159677793870362,0.000195680178886701,0,0,0,0,0,0,0,0.00986091107207014,0,0.589794959843802,0.80688912581216
Severe 2,0.155610346255912,0,0,0.404353897098338,0.0349509265493457,0.0889270023787142,0,0,0,0,0,0.140254458728456,0.142999198937663,0,0,0.0236314787631896,0,0.00303066424053638,0.00624202704784509,0,0,0,0.002,0.459804403055248,0.898193011131206
Severe 3,0.138115873320693,0,0,0.318514021115911,0.043389448158177,0.0710425019663468,0.0319080084469002,0,0,0,0.0390568650421941,0.0585195900013762,0.0952036914129757,0.0149703803883087,0,0.0120212792456469,0,0,0.0159685009369278,0,0,0.161289839964542,0.00700000000000001,0.320931190175967,0.971614484090032
Severe 4,0.114496027187054,0,0,0.240839465538973,0.0444803913594372,0.0341536676276112,0.062360701284559,0,0,0,0.012838269039672,0.067511441163741,0.0944962169023376,0.0220224162358471,0,0.0111871517061625,0,0,0.0416937822752695,0,0,0.253920469679336,0.00900000000000001,0.288470740208031,0.988892537730255
Severe 5,0.0324805020783842,0,0,0.172655397050245,0,0.149362314244054,0.0283936027572979,0,0,0,0.0222593544024847,0.0500852314713622,0.0620323534580966,0.00408271789365427,0,0.00779965523307917,0,0,0.0435996765863007,0,0,0.427249194825041,0,0.56911261241912,0.828086291155196
Severe 6,0.131953202624133,0,0,0.084155714079715,0.0727939223740696,0.169030012978241,0.0287210596315501,0,0,0,0.116607220507285,0.00861589445048758,0.127697675698044,0.0010856449357449,0,0.00356858091642824,0,0.000104830060422946,0.0275500516216628,0,0,0.228116190122216,0,0.564148225953062,0.82611938390366
Severe 7,0.0415154132023847,0,0,0.108453401647016,0.0399396849240038,0.205685679492002,0.0362302955246425,0,0,0,0.0975348410427382,0.00111620665614682,0.404037885788388,0.025095313468754,0,0,0,0.00447310092461357,0.0251403738265469,0,0,0.0107778035027637,0,0.805512840768651,0.667719661355084
Severe 8,0.0368821617276514,0,0,0.180344519470479,0,0.112522241824782,0.0312368018718019,0,0,0,0.189301722049484,0,0.383003205316844,0.0149601830880295,0,0,0,0.00223890751058146,0.0196493449221843,0,0,0.0298609122181626,0,0.732797092167496,0.708877173720051
Severe 9,0.0307535577502591,0,0.000927662928091614,0.152799081717511,0.0243855916573072,0.092260140437468,0.0512215527234199,0,0,0,0.244396157946718,0,0.348018872989753,0.00446620914194801,0,0,0,0.00306738919206072,0.0170428255311875,0,0,0.0306609579842768,0,0.73600817637353,0.702666577990596
Severe 10,0.0744090285615293,0,0,0.0664561592493681,0.0181058870656083,0.14322967916995,0.0551704119497106,0,0,0,0.0977317486966415,0.00782246336597722,0.486652685487779,0.000157292879799893,0,0,0,0.00250386295379493,0.0104992764170215,0,0,0.0372615042028201,0,0.827048323779433,0.63769041473074
Severe 11,0.0465896861370263,0,0,0.100695959621483,0.262556482748791,0.295727212635314,0.0493573621078671,0,0,0,0.0885380581033065,0.0361358072795348,0.103939131615072,0,0,0,0,0.000714143767402995,0.00565984459795765,0,0,0.0100863113862431,0,0.702915652911935,0.719823478090912
Severe 13,0.026515379035145,0,0.00102734637639922,0.136668963612424,0.122479781921278,0.194865608246478,0.029738781113669,0,0,0,0.0937758231745761,0.0322046577626454,0.328992381669144,0.014744934811782,0,0,0,0.00381820786655756,0.015168134409901,0,0,0,0.001,0.500440769778077,0.865088527913768
